Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,355,64.76545205,57.36555558,53.08342481,61.64768635
Virginia,VSCIAll,356,64.88150997,57.393111,53.11124792,61.67497408
Virginia,VSCIAll,357,64.97658131,57.44983776,53.16665807,61.73301746
Virginia,VSCIAll,358,64.995,57.57195648,53.28525897,61.85865399
Virginia,VSCIAll,359,65.10541817,57.6622155,53.37592658,61.94850442
Virginia,VSCIAll,360,65.14,58.18792854,53.91180241,62.46405467
Virginia,VSCIAll,361,65.17872044,58.27818756,54.00212048,62.55425464
Virginia,VSCIAll,362,65.24,58.36844657,54.08810307,62.64879007
Virginia,VSCIAll,363,65.29426122,58.89415962,54.62741784,63.1609014
Virginia,VSCIAll,364,65.33502249,58.95088638,54.68488005,63.21689271
Virginia,VSCIAll,365,65.34361747,58.9784418,54.71272914,63.24415446
Virginia,VSCIAll,366,65.39643555,59.50415485,55.27025408,63.73805562
Virginia,VSCIAll,367,65.41160737,59.56088161,55.32661641,63.7951468
Virginia,VSCIAll,368,65.60742209,59.65114062,55.41512544,63.88715581
Virginia,VSCIAll,369,65.61,59.77325934,55.53644747,64.01007121
